enc_class	enc_method	exp	kind	class	method	param	index	uri
tui.Driver#$@$#main(java.lang.String[])#$@$#ImageIO.read#$@$#METHOD	javax.imageio.ImageIO	read(java.io.File)	null	null	null
darwin.population.Individual#$@$#setTree(int,darwin.population.Node)#$@$#index#$@$#PARAMETER	darwin.population.Individual	setTree(int,darwin.population.Node)	index	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#getComplexity()#$@$#trees.length#$@$#FIELD	Array	null	length	null	null
darwin.population.Individual#$@$#getComplexity()#$@$#trees#$@$#FIELD	darwin.population.Individual	null	trees	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#getComplexity()#$@$#trees[i].getSize#$@$#METHOD	darwin.population.Node	getSize(boolean)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Individual#$@$#getComplexity()#$@$#trees#$@$#FIELD	darwin.population.Individual	null	trees	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#equals(darwin.population.Individual)#$@$#trees.length#$@$#FIELD	Array	null	length	null	null
darwin.population.Individual#$@$#equals(darwin.population.Individual)#$@$#trees#$@$#FIELD	darwin.population.Individual	null	trees	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#equals(darwin.population.Individual)#$@$#trees[i].equals#$@$#METHOD	darwin.population.Node	equals(darwin.population.Node)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Individual#$@$#equals(darwin.population.Individual)#$@$#trees#$@$#FIELD	darwin.population.Individual	null	trees	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#equals(darwin.population.Individual)#$@$#other.getTree#$@$#METHOD	darwin.population.Individual	getTree(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#equals(darwin.population.Individual)#$@$#other#$@$#PARAMETER	darwin.population.Individual	equals(darwin.population.Individual)	other	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#clone()#$@$#treeTypes#$@$#FIELD	darwin.population.Individual	null	treeTypes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#clone()#$@$#treeTypes.length#$@$#FIELD	Array	null	length	null	null
darwin.population.Individual#$@$#clone()#$@$#treeTypes#$@$#FIELD	darwin.population.Individual	null	treeTypes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#clone()#$@$#trees[i].cloneSubtree#$@$#METHOD	darwin.population.Node	cloneSubtree()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Individual#$@$#clone()#$@$#trees#$@$#FIELD	darwin.population.Individual	null	trees	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#clone()#$@$#individual.setTree#$@$#METHOD	darwin.population.Individual	setTree(int,darwin.population.Node)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#clone()#$@$#e.printStackTrace#$@$#METHOD	java.lang.Throwable	printStackTrace()	null	null	null
darwin.population.Individual#$@$#filterTrees(darwin.nodeFilter.Filter)#$@$#trees#$@$#FIELD	darwin.population.Individual	null	trees	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#filterTrees(darwin.nodeFilter.Filter)#$@$#list.addAll#$@$#METHOD	java.util.ArrayList	addAll(java.util.Collection)	null	null	null
darwin.population.Individual#$@$#filterTrees(darwin.nodeFilter.Filter)#$@$#node.filterSubtree#$@$#METHOD	darwin.population.Node	filterSubtree(darwin.nodeFilter.Filter,boolean)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Individual#$@$#filterTrees(darwin.nodeFilter.Filter)#$@$#filter#$@$#PARAMETER	darwin.population.Individual	filterTrees(darwin.nodeFilter.Filter)	filter	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#toString()#$@$#trees.length#$@$#FIELD	Array	null	length	null	null
darwin.population.Individual#$@$#toString()#$@$#trees#$@$#FIELD	darwin.population.Individual	null	trees	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Individual#$@$#toString()#$@$#trees#$@$#FIELD	darwin.population.Individual	null	trees	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Individual.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType)#$@$#this.childTypes#$@$#FIELD	darwin.population.Node	null	childTypes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType)#$@$#this#$@$#FIELD	darwin.population.Node	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType)#$@$#nodeType.getChildTypes#$@$#METHOD	darwin.problemObject.NodeType	getChildTypes()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/problemObject/NodeType.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType)#$@$#nodeType#$@$#PARAMETER	darwin.population.Node	Node(darwin.problemObject.NodeType)	nodeType	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType)#$@$#arity#$@$#FIELD	darwin.population.Node	null	arity	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType)#$@$#childTypes.length#$@$#FIELD	Array	null	length	null	null
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType)#$@$#childTypes#$@$#FIELD	darwin.population.Node	null	childTypes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType)#$@$#childNodes#$@$#FIELD	darwin.population.Node	null	childNodes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType)#$@$#arity#$@$#FIELD	darwin.population.Node	null	arity	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType)#$@$#this.returnType#$@$#FIELD	darwin.population.Node	null	returnType	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType)#$@$#this#$@$#FIELD	darwin.population.Node	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType)#$@$#nodeType.getReturnType#$@$#METHOD	darwin.nodeFilter.Filterable	getReturnType()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/Filterable.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType)#$@$#nodeType#$@$#PARAMETER	darwin.population.Node	Node(darwin.problemObject.NodeType)	nodeType	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType)#$@$#this.processable#$@$#FIELD	darwin.population.Node	null	processable	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType)#$@$#this#$@$#FIELD	darwin.population.Node	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType)#$@$#nodeType.getProcessable#$@$#METHOD	darwin.problemObject.NodeType	getProcessable()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/problemObject/NodeType.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType)#$@$#nodeType#$@$#PARAMETER	darwin.population.Node	Node(darwin.problemObject.NodeType)	nodeType	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType)#$@$#this.nodeType#$@$#FIELD	darwin.population.Node	null	nodeType	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType)#$@$#this#$@$#FIELD	darwin.population.Node	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType)#$@$#nodeType#$@$#PARAMETER	darwin.population.Node	Node(darwin.problemObject.NodeType)	nodeType	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)#$@$#this.childTypes#$@$#FIELD	darwin.population.Node	null	childTypes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)#$@$#this#$@$#FIELD	darwin.population.Node	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)#$@$#nodeType.getChildTypes#$@$#METHOD	darwin.problemObject.NodeType	getChildTypes()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/problemObject/NodeType.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)#$@$#nodeType#$@$#PARAMETER	darwin.population.Node	Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)	nodeType	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)#$@$#arity#$@$#FIELD	darwin.population.Node	null	arity	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)#$@$#childTypes.length#$@$#FIELD	Array	null	length	null	null
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)#$@$#childTypes#$@$#FIELD	darwin.population.Node	null	childTypes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)#$@$#childNodes#$@$#FIELD	darwin.population.Node	null	childNodes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)#$@$#arity#$@$#FIELD	darwin.population.Node	null	arity	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)#$@$#this.returnType#$@$#FIELD	darwin.population.Node	null	returnType	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)#$@$#this#$@$#FIELD	darwin.population.Node	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)#$@$#nodeType.getReturnType#$@$#METHOD	darwin.nodeFilter.Filterable	getReturnType()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/nodeFilter/Filterable.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)#$@$#nodeType#$@$#PARAMETER	darwin.population.Node	Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)	nodeType	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)#$@$#this.processable#$@$#FIELD	darwin.population.Node	null	processable	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)#$@$#this#$@$#FIELD	darwin.population.Node	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)#$@$#processable#$@$#PARAMETER	darwin.population.Node	Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)	processable	1	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)#$@$#this.nodeType#$@$#FIELD	darwin.population.Node	null	nodeType	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)#$@$#this#$@$#FIELD	darwin.population.Node	null	this	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)#$@$#nodeType#$@$#PARAMETER	darwin.population.Node	Node(darwin.problemObject.NodeType,darwin.problemObject.Processable)	nodeType	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#getArity()#$@$#arity#$@$#FIELD	darwin.population.Node	null	arity	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#getNodeType()#$@$#nodeType#$@$#FIELD	darwin.population.Node	null	nodeType	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#getProcessable()#$@$#processable#$@$#FIELD	darwin.population.Node	null	processable	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#getValue(java.lang.Object)#$@$#processable.getValue#$@$#METHOD	darwin.problemObject.Processable	getValue(java.lang.Object,darwin.population.Node[])	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/problemObject/Processable.java
darwin.population.Node#$@$#getValue(java.lang.Object)#$@$#processable#$@$#FIELD	darwin.population.Node	null	processable	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#getValue(java.lang.Object)#$@$#parameters#$@$#PARAMETER	darwin.population.Node	getValue(java.lang.Object)	parameters	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#getValue(java.lang.Object)#$@$#childNodes#$@$#FIELD	darwin.population.Node	null	childNodes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#getReturnType()#$@$#returnType#$@$#FIELD	darwin.population.Node	null	returnType	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#getChildNode(int)#$@$#childNodes#$@$#FIELD	darwin.population.Node	null	childNodes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#getChildNode(int)#$@$#birthOrder#$@$#PARAMETER	darwin.population.Node	getChildNode(int)	birthOrder	0	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
darwin.population.Node#$@$#getChildNodes()#$@$#childNodes#$@$#FIELD	darwin.population.Node	null	childNodes	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8/src/darwin/population/Node.java
