enc_class	enc_method	exp	kind	class	method	param	index	uri
Main#$@$#main(java.lang.String[])#$@$#System.out.println#$@$#METHOD	java.io.PrintStream	println(java.lang.String)	null	null	null
backend.step_out#$@$#scanStart()#$@$#(new handlers()).update#$@$#METHOD	frontend.handlers	update(int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/handlers.java
backend.step_out#$@$#scanStart()#$@$#frontend.handlers.regMode#$@$#FIELD	frontend.handlers	null	regMode	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/handlers.java
backend.step_out#$@$#scanStart()#$@$#Register.r[16].b#$@$#FIELD	backend.Register_spec	null	b	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Register_spec.java
backend.step_out#$@$#scanStart()#$@$#backend.Register.r#$@$#FIELD	backend.Register	null	r	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/Register.java
backend.step_out#$@$#scanStart()#$@$#ScanFile.pos.intValue#$@$#METHOD	java.lang.Long	intValue()	null	null	null
backend.step_out#$@$#scanStart()#$@$#backend.ScanFile.pos#$@$#FIELD	backend.ScanFile	null	pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#scanStart()#$@$#backend.step_out.initial_pos#$@$#FIELD	backend.step_out	null	initial_pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#scanStart()#$@$#ScanFile.pos.intValue#$@$#METHOD	java.lang.Long	intValue()	null	null	null
backend.step_out#$@$#scanStart()#$@$#backend.ScanFile.pos#$@$#FIELD	backend.ScanFile	null	pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#scanStart()#$@$#backend.ScanFile.current_line#$@$#FIELD	backend.ScanFile	null	current_line	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#scanStart()#$@$#ScanFile.getLineNumber#$@$#METHOD	backend.ScanFile	getLineNumber(javax.swing.JEditorPane,int)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.activepane#$@$#FIELD	frontend.FrontEnd	null	activepane	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#backend.step_out.initial_pos#$@$#FIELD	backend.step_out	null	initial_pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#scanStart()#$@$#soutLine.toUpperCase#$@$#METHOD	java.lang.String	toUpperCase()	null	null	null
backend.step_out#$@$#scanStart()#$@$#RemoveComments.setflag#$@$#METHOD	backend.RemoveComments	setflag(boolean)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/RemoveComments.java
backend.step_out#$@$#scanStart()#$@$#backend.StepRun.commentflag#$@$#FIELD	backend.StepRun	null	commentflag	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/StepRun.java
backend.step_out#$@$#scanStart()#$@$#RemoveComments.RC#$@$#METHOD	backend.RemoveComments	RC(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/RemoveComments.java
backend.step_out#$@$#scanStart()#$@$#backend.StepRun.commentflag#$@$#FIELD	backend.StepRun	null	commentflag	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/StepRun.java
backend.step_out#$@$#scanStart()#$@$#RemoveComments.getcommetnflag#$@$#METHOD	backend.RemoveComments	getcommetnflag()	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/RemoveComments.java
backend.step_out#$@$#scanStart()#$@$#soutLine.contains#$@$#METHOD	java.lang.String	contains(java.lang.CharSequence)	null	null	null
backend.step_out#$@$#scanStart()#$@$#st3.countTokens#$@$#METHOD	java.util.StringTokenizer	countTokens()	null	null	null
backend.step_out#$@$#scanStart()#$@$#st3.nextToken#$@$#METHOD	java.util.StringTokenizer	nextToken()	null	null	null
backend.step_out#$@$#scanStart()#$@$#st3.nextToken#$@$#METHOD	java.util.StringTokenizer	nextToken()	null	null	null
backend.step_out#$@$#scanStart()#$@$#st3.hasMoreTokens#$@$#METHOD	java.util.StringTokenizer	hasMoreTokens()	null	null	null
backend.step_out#$@$#scanStart()#$@$#st3.nextToken#$@$#METHOD	java.util.StringTokenizer	nextToken()	null	null	null
backend.step_out#$@$#scanStart()#$@$#soutLine.trim#$@$#METHOD	java.lang.String	trim()	null	null	null
backend.step_out#$@$#scanStart()#$@$#soutLine.isEmpty#$@$#METHOD	java.lang.String	isEmpty()	null	null	null
backend.step_out#$@$#scanStart()#$@$#ScanFile.tokenizeInstruction#$@$#METHOD	backend.ScanFile	tokenizeInstruction(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.exceptionraised#$@$#FIELD	frontend.FrontEnd	null	exceptionraised	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#java.awt.Color.GREEN#$@$#FIELD	java.awt.Color	null	GREEN	null	null
backend.step_out#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#backend.ScanFile.stepins#$@$#FIELD	backend.ScanFile	null	stepins	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#scanStart()#$@$#java.awt.Color.BLACK#$@$#FIELD	java.awt.Color	null	BLACK	null	null
backend.step_out#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#java.awt.Color.GREEN#$@$#FIELD	java.awt.Color	null	GREEN	null	null
backend.step_out#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#java.awt.Color.RED#$@$#FIELD	java.awt.Color	null	RED	null	null
backend.step_out#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#backend.ScanFile.stepins#$@$#FIELD	backend.ScanFile	null	stepins	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#scanStart()#$@$#java.awt.Color.BLACK#$@$#FIELD	java.awt.Color	null	BLACK	null	null
backend.step_out#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#java.awt.Color.RED#$@$#FIELD	java.awt.Color	null	RED	null	null
backend.step_out#$@$#scanStart()#$@$#soutLine.isEmpty#$@$#METHOD	java.lang.String	isEmpty()	null	null	null
backend.step_out#$@$#scanStart()#$@$#ScanFile.tokenizeInstruction#$@$#METHOD	backend.ScanFile	tokenizeInstruction(java.lang.String)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.exceptionraised#$@$#FIELD	frontend.FrontEnd	null	exceptionraised	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#java.awt.Color.GREEN#$@$#FIELD	java.awt.Color	null	GREEN	null	null
backend.step_out#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#backend.ScanFile.stepins#$@$#FIELD	backend.ScanFile	null	stepins	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#scanStart()#$@$#java.awt.Color.BLACK#$@$#FIELD	java.awt.Color	null	BLACK	null	null
backend.step_out#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#java.awt.Color.GREEN#$@$#FIELD	java.awt.Color	null	GREEN	null	null
backend.step_out#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#java.awt.Color.RED#$@$#FIELD	java.awt.Color	null	RED	null	null
backend.step_out#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#backend.ScanFile.stepins#$@$#FIELD	backend.ScanFile	null	stepins	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#scanStart()#$@$#java.awt.Color.BLACK#$@$#FIELD	java.awt.Color	null	BLACK	null	null
backend.step_out#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#java.awt.Color.RED#$@$#FIELD	java.awt.Color	null	RED	null	null
backend.step_out#$@$#scanStart()#$@$#backend.StepRun.callbbeq#$@$#FIELD	backend.StepRun	null	callbbeq	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/StepRun.java
backend.step_out#$@$#scanStart()#$@$#FrontEnd.warning.setVisible#$@$#METHOD	javax.swing.JComponent	setVisible(boolean)	null	null	null
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.warning#$@$#FIELD	frontend.FrontEnd	null	warning	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#FrontEnd.cross.setVisible#$@$#METHOD	javax.swing.JComponent	setVisible(boolean)	null	null	null
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.cross#$@$#FIELD	frontend.FrontEnd	null	cross	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#FrontEnd.cross.setEnabled#$@$#METHOD	javax.swing.AbstractButton	setEnabled(boolean)	null	null	null
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.cross#$@$#FIELD	frontend.FrontEnd	null	cross	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#FrontEnd.steprun.setVisible#$@$#METHOD	javax.swing.JComponent	setVisible(boolean)	null	null	null
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.steprun#$@$#FIELD	frontend.FrontEnd	null	steprun	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#FrontEnd.run_stepOut.setEnabled#$@$#METHOD	javax.swing.JMenuItem	setEnabled(boolean)	null	null	null
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.run_stepOut#$@$#FIELD	frontend.FrontEnd	null	run_stepOut	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#FrontEnd.run_stepOver.setEnabled#$@$#METHOD	javax.swing.JMenuItem	setEnabled(boolean)	null	null	null
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.run_stepOver#$@$#FIELD	frontend.FrontEnd	null	run_stepOver	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#FrontEnd.r_stepOut.setEnabled#$@$#METHOD	javax.swing.AbstractButton	setEnabled(boolean)	null	null	null
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.r_stepOut#$@$#FIELD	frontend.FrontEnd	null	r_stepOut	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#FrontEnd.r_stepover.setEnabled#$@$#METHOD	javax.swing.AbstractButton	setEnabled(boolean)	null	null	null
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.r_stepover#$@$#FIELD	frontend.FrontEnd	null	r_stepover	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#backend.StepRun.commentflag#$@$#FIELD	backend.StepRun	null	commentflag	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/StepRun.java
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.exceptionraised#$@$#FIELD	frontend.FrontEnd	null	exceptionraised	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#java.awt.Color.GREEN#$@$#FIELD	java.awt.Color	null	GREEN	null	null
backend.step_out#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#java.awt.Color.RED#$@$#FIELD	java.awt.Color	null	RED	null	null
backend.step_out#$@$#scanStart()#$@$#backend.ScanFile.pos#$@$#FIELD	backend.ScanFile	null	pos	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#scanStart()#$@$#ScanFile.br.getFilePointer#$@$#METHOD	java.io.RandomAccessFile	getFilePointer()	null	null	null
backend.step_out#$@$#scanStart()#$@$#backend.ScanFile.br#$@$#FIELD	backend.ScanFile	null	br	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#scanStart()#$@$#FrontEnd.appendToPane#$@$#METHOD	frontend.FrontEnd	appendToPane(javax.swing.JTextPane,java.lang.String,java.awt.Color)	null	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#backend.ScanFile.current_line#$@$#FIELD	backend.ScanFile	null	current_line	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/ScanFile.java
backend.step_out#$@$#scanStart()#$@$#fpath.getName#$@$#METHOD	java.io.File	getName()	null	null	null
backend.step_out#$@$#scanStart()#$@$#fpath#$@$#FIELD	backend.step_out	null	fpath	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/backend/step_out.java
backend.step_out#$@$#scanStart()#$@$#java.awt.Color.RED#$@$#FIELD	java.awt.Color	null	RED	null	null
backend.step_out#$@$#scanStart()#$@$#FrontEnd.statuswindow.setCaretPosition#$@$#METHOD	javax.swing.text.JTextComponent	setCaretPosition(int)	null	null	null
backend.step_out#$@$#scanStart()#$@$#frontend.FrontEnd.statuswindow#$@$#FIELD	frontend.FrontEnd	null	statuswindow	null	/home/nima/Developer/NJR-ANNOTATED-RUN/dataset/url647b55da7c_Nikhilkumar13_emuSr_tgz-pJ8-MainJ8/src/frontend/FrontEnd.java
backend.step_out#$@$#scanStart()#$@$#FrontEnd.statuswindow.getText().length#$@$#METHOD	java.lang.String	length()	null	null	null
backend.step_out#$@$#scanStart()#$@$#FrontEnd.statuswindow.getText#$@$#METHOD	javax.swing.JEditorPane	getText()	null	null	null
